,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.5244647029303705,0.9926365662007106,0.9926365662007106,130.60715692234106,1.0,inf,0.0,0.5318142997905861,0.9926365662007106,0.9926365662007106,136.6313398616197,1.0,0.018455419692724465,0.0,0.5171151060701549,0.9926365662007106,0.9926365662007106,124.58297398306244,1.0,0.018455419692724465,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
10,0.01,0.3411794562700251,0.20196432219580235,0.9847288694584163,0.9950852855106047,34.11794562700251,0.6654752966969444,0.026625439451831243,0.3464131622722257,0.20443684261491346,0.9852609909262975,0.9951265497895286,34.64131622722257,0.6601887249775498,0.026625439451831243,0.33594575026782453,0.19949180177669124,0.9851839148309532,0.9950488862870572,33.59457502678245,0.6707618684163389,0.026625439451831243,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
20,0.02,0.44787932620626214,0.1424524868887131,0.9755881718815076,0.9958361782925957,22.393966310313107,0.5633884426466713,0.018538658573965947,0.45336881411427676,0.14394978064632744,0.9761221861260893,0.9958793552371525,22.668440705713838,0.557786924373187,0.018538658573965947,0.4423898382982475,0.14095519313109878,0.9760413431644839,0.9957969407828879,22.119491914912377,0.5689899609201556,0.018538658573965947,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
30,0.03,0.5175110236969831,0.11344573968417565,0.9661759268062113,0.9963218779823323,17.250367456566103,0.4974113157763061,0.014845905935820254,0.5230271959613972,0.1145177937543296,0.9667087453473789,0.9963656166658152,17.434239865379908,0.4917245402459822,0.014845905935820254,0.511994851432569,0.1123736856140217,0.96662750940879,0.9962818662143837,17.066495047752298,0.50309809130663,0.014845905935820254,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
40,0.04,0.5655190541146826,0.09492054343409538,0.9568176241617775,0.9966532176829832,14.137976352867065,0.45258431863053894,0.012775978258863391,0.5709910190884481,0.09575182180966631,0.9571355581217288,0.9966959397580529,14.274775477211202,0.44688435511619995,0.012775978258863391,0.5600470891409172,0.09408926505852445,0.957054973218056,0.9966119394336229,14.001177228522929,0.458284282144878,0.012775978258863391,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
50,0.05,0.6059638993750595,0.08248538687485278,0.9470773196755258,0.9969314520716342,12.119277987501189,0.41477484276309534,0.011344240036378185,0.6113580826999904,0.0831590946518966,0.9475064326602969,0.996974478851407,12.227161653999806,0.40909675505264176,0.011344240036378185,0.6005697160501285,0.08181167909780897,0.9474269932366682,0.9968907541092161,12.01139432100257,0.4204529304735489,0.011344240036378185,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
60,0.06,0.6358214636931765,0.0728799110008037,0.9376354866290789,0.9971339924458169,10.597024394886276,0.3874239747944931,0.01039532891973549,0.6411334761563063,0.0734444185760834,0.9377993161368532,0.9971759848496722,10.685557935938439,0.3817728977060571,0.01039532891973549,0.6305094512300466,0.07231540342552399,0.9377210868326267,0.9970926246667,10.508490853834111,0.3930750518829291,0.01039532891973549,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
70,0.07,0.6630872696126637,0.0656550652590544,0.9275671282935207,0.9973185358354408,9.472675280180908,0.36227175310466264,0.009647975787128714,0.6683049608507745,0.06613777360537193,0.9280730259036222,0.9973612476406105,9.547213726439635,0.35666133241852205,0.009647975787128714,0.657869578374553,0.06517235691273686,0.9279961856555883,0.997278456385384,9.398136833922184,0.3678821737908033,0.009647975787128714,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
80,0.08,0.6859964681872496,0.059805129954427654,0.9179586293201066,0.997473686710483,8.574955852340619,0.3413081867529896,0.009100876317379367,0.691119918471631,0.06022508066882964,0.91831465667169,0.9975156549581281,8.638998980895387,0.335739219052575,0.009100876317379367,0.6808730179028681,0.05938517924002567,0.918239204297704,0.9974334499151526,8.510912723785852,0.34687715445340417,0.009100876317379367,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
90,0.09,0.7066903530755322,0.0550412648645793,0.9080220153192499,0.9976135507707364,7.85211503417258,0.32231829332359097,0.008647461212075307,0.7117162326130271,0.05541116569318413,0.9085399506053723,0.997655503889233,7.907958140144745,0.3167953487768933,0.008647461212075307,0.7016644735380373,0.054671364035974473,0.9084659351428572,0.9975739552909578,7.796271928200414,0.3278412378702887,0.008647461212075307,0.8955932652349079,0.898241963671161,0.8929445667986545,31523,4249496,4281019,0.007363433799289375,0,0.007363433799289375
