,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.0762647486101263,0.9984015380189994,0.9984015380189994,24.007439779993042,1.0,inf,0.0,0.08506421884094283,0.9984015380189994,0.9984015380189994,30.399655279090776,1.0,0.007117162197759626,0.0,0.06746527837930978,0.9984015380189994,0.9984015380189994,17.615224280895312,1.0,0.007117162197759626,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
10,0.01,0.11934838130737903,0.018747636262043177,0.9883141362319483,0.9985774266379572,11.934838130737901,0.889547089588506,0.007941598925338546,0.1284922466912499,0.020157208797420077,0.9886229126099988,0.9985925872916063,12.84922466912499,0.8803108619280304,0.007941598925338546,0.11020451592350816,0.017338063726666277,0.9885936803676477,0.9985630965601479,11.020451592350815,0.8987833172489818,0.007941598925338546,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
20,0.02,0.17225098364050528,0.01360062887262916,0.9785986827666997,0.9986494040088324,8.612549182025264,0.8446418534280559,0.007124552292317636,0.1829009854190932,0.014430139626634371,0.9787258675300994,0.9986668889390967,9.14504927095466,0.8337745046743947,0.007124552292317636,0.16160098186191738,0.01277111811862395,0.9786918202842181,0.9986321851512313,8.080049093095868,0.855509202181717,0.007124552292317636,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
30,0.03,0.21443363015117,0.01131391250090917,0.9683539946157418,0.9987045463876294,7.147787671705667,0.8098622369575568,0.006712288680156141,0.22600959978144025,0.011917791432010702,0.9688107596310213,0.9987241299214121,7.533653326048008,0.7979282476479999,0.006712288680156141,0.20285766052089976,0.010710033569807638,0.9687737521363268,0.9986860156851787,6.761922017363326,0.8217962262671136,0.006712288680156141,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
40,0.04,0.2495570741584409,0.00988963573941247,0.958656397465161,0.9987498110830756,6.238926853961022,0.7817113810849574,0.006469991385658719,0.2617627902790839,0.010368560681150574,0.9588838943665412,0.9987703333289698,6.544069756977097,0.7689970934592877,0.006469991385658719,0.2373513580377979,0.009410710797674367,0.9588448736202017,0.9987297233554329,5.933783950944947,0.7944256687106271,0.006469991385658719,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
50,0.05,0.2816318078277076,0.008937212045810003,0.9484579591920501,0.9987902059472014,5.632636156554151,0.7561770443918868,0.006288779078157129,0.29431807598275656,0.009336203157956937,0.9489519173728291,0.9988121372357741,5.88636151965513,0.7428230779128878,0.006288779078157129,0.2689455396726586,0.00853822093366307,0.9489113603381758,0.9987694806176058,5.378910793453172,0.7695310108708858,0.006288779078157129,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
60,0.06,0.3100020708221164,0.0082040151068888,0.9388645943705494,0.9988260716597552,5.166701180368607,0.734040350189238,0.006162893086399731,0.32304651802945483,0.00854640121759506,0.9390138233150241,0.9988483312278283,5.384108633824248,0.7201632786920694,0.006162893086399731,0.29695762361477795,0.00786162899618254,0.938972121209176,0.9988040005151907,4.949293726912966,0.7479174216864065,0.006162893086399731,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
70,0.07,0.33892769065682715,0.007692142639987342,0.9282004575262269,0.9988623403725896,4.841824152240387,0.7108304401539494,0.006050186768760548,0.35227818962623386,0.007992812120992916,0.9290765336505227,0.998886170688028,5.032545566089055,0.6964750649180281,0.006050186768760548,0.32557719168742044,0.007391473158981769,0.9290338531204627,0.998840308615677,4.65110273839172,0.7251858153898706,0.006050186768760548,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
80,0.08,0.36010655321071555,0.007155090453034089,0.9187252091919673,0.9988875164143144,4.501331915133944,0.6955363552057439,0.005969096864790344,0.37364562315795125,0.007422181118552491,0.9191266733004647,0.9989111796413034,4.670570289474391,0.6808199748283138,0.005969096864790344,0.34656748326347986,0.006887999787515687,0.9190833899233273,0.9988641619418878,4.332093540793498,0.710252735583174,0.005969096864790344,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
90,0.09,0.38314350797266516,0.006769588570867719,0.9083979663882736,0.998915033783002,4.257150088585169,0.6778642769531151,0.005884060538447662,0.39685523926455496,0.007010216950135587,0.9091797576092148,0.9989399737272731,4.409502658495056,0.6627964403686208,0.005884060538447662,0.36943177668077537,0.006528960191599851,0.9091359222468872,0.9988918304311981,4.104797518675282,0.6929321135376095,0.005884060538447662,0.7438851729136466,0.7538517853888987,0.7339185604383949,4829,3016200,3021029,0.0015984619810005135,0,0.0015984619810005135
