,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.7345501437287786,0.9346858871685353,0.9346858871685354,14.996186655332703,1.0,inf,0.0,0.7838109201730057,0.9346858871685353,0.9346858871685354,19.85663596904186,1.0,0.09167706992675062,0.0,0.6852893672845515,0.9346858871685353,0.9346858871685354,10.135737341623544,1.0,0.09167706992675062,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
10,0.01,0.14214350590372388,0.4969973807370064,0.9342261375096399,0.9428842828664638,14.214350590372387,0.8665217112083596,0.11113484638296343,0.15672863464022793,0.5227164475089009,0.9355756200236631,0.9438223261956629,15.672863464022793,0.8517892579391637,0.11113484638296343,0.12755837716721982,0.47127831396511183,0.9336703905357482,0.9419917670389134,12.755837716721983,0.8812541644775557,0.11113484638296343,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
20,0.02,0.20600590372388736,0.417839719631913,0.9287684641395266,0.9463938206440098,10.300295186194369,0.8101980574246048,0.09572075156368332,0.22289816941419388,0.4378186667323055,0.9305505656122102,0.9474984974099381,11.144908470709694,0.7929610516181695,0.09572075156368332,0.18911363803358083,0.39786077253152047,0.9283439589176586,0.9453407526003775,9.455681901679041,0.82743506323104,0.09572075156368332,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
30,0.03,0.2553928247048138,0.37254926878843164,0.9232811295010974,0.949100673291809,8.513094156827126,0.7676362631909136,0.08570072497840568,0.2736069109191623,0.3892401519033178,0.9245157032047219,0.9502732778053874,9.120230363972077,0.7488588547225131,0.08570072497840568,0.23717873849046528,0.3558583856735455,0.9221364294404699,0.9479094145512476,7.905957949682176,0.7864136716593141,0.08570072497840568,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
40,0.04,0.29818346957311537,0.3421832084189995,0.9167230230764667,0.9513985531305355,7.454586739327884,0.7310588858613383,0.077049009253488,0.317290491949781,0.3566201448976958,0.9180219986733529,0.9526583652528059,7.932262298744525,0.7111557375523115,0.077049009253488,0.27907644719644975,0.3277462719403033,0.9155260822425871,0.9501405829574135,6.9769111799112435,0.7509620341703649,0.077049009253488,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
50,0.05,0.33342415985467755,0.31762256221203733,0.9094767752269087,0.9532520527000307,6.6684831970935505,0.7016587791003395,0.07022540283717793,0.35311493218709505,0.33043200821451335,0.9110149813334514,0.9545789947728633,7.062298643741901,0.6809316503293737,0.07022540283717793,0.31373338752226004,0.30481311620956136,0.908442810681735,0.9519466971411285,6.2746677504452,0.7223859078713052,0.07022540283717793,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
60,0.06,0.3642143505903724,0.2976503651094176,0.9022463467204523,0.9548675520382931,6.070239176506207,0.6763677121379018,0.06452353084502276,0.3843132983340141,0.30919427161212437,0.9037058160684432,0.9562339429547206,6.405221638900236,0.6549858528361553,0.06452353084502276,0.34411540284673064,0.28610645860671086,0.9010803261869994,0.9535093231485612,5.735256714112178,0.6977495714396483,0.06452353084502276,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
70,0.07,0.3941871026339691,0.28222949396027763,0.8948850283607357,0.9564636370933759,5.631244323342415,0.6514117175978826,0.05969062848849185,0.4145978964890779,0.29272447267308854,0.8963369688577133,0.9578674177078775,5.922827092701112,0.629464627431099,0.05969062848849185,0.3737763087788603,0.2717345152474667,0.8936707430720486,0.9550614349379183,5.339661553983718,0.6733588077646663,0.05969062848849185,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
80,0.08,0.42113230396609147,0.2687984980435505,0.8870235246814709,0.9578736869407422,5.264153799576143,0.6292040174281615,0.05566834409679221,0.4417546642038326,0.278427661431705,0.8887638301766874,0.9593234884234415,5.521933302547907,0.606788408474095,0.05566834409679221,0.40050994372835036,0.25916933465539593,0.8860699678498496,0.956449077762961,5.006374296604379,0.6516196263822278,0.05566834409679221,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
90,0.09,0.4423251589464124,0.25553066925251255,0.879377508848945,0.9589372169941734,4.914723988293471,0.612829495663283,0.05242971268164859,0.4630695543066652,0.2644561334473852,0.8808091344421687,0.9604021935620295,5.145217270074058,0.5900334568058624,0.05242971268164859,0.4215807635861596,0.24660520505763994,0.8780993308838085,0.9574725807901755,4.684230706512884,0.6356255345207037,0.05242971268164859,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
100,0.1,0.46425327624237706,0.24485648341843574,0.8712022983245621,0.9600545630473482,4.64253276242377,0.59527413750847,0.04897693632751424,0.485083631857386,0.2531558426991196,0.8729001055155118,0.9615575705265644,4.85083631857386,0.5721292979362378,0.04897693632751424,0.4434229206273681,0.23655712413775185,0.8701790731215954,0.958576121318595,4.434229206273681,0.6184189770807021,0.04897693632751424,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
110,0.11,0.4857232061762034,0.23572181776623116,0.8629399136857091,0.9611761592952062,4.415665510692758,0.5778390941840411,0.0459898943423363,0.5065984868826963,0.2434671366860964,0.8649584703125021,0.9627054602229586,4.605440789842693,0.554383722603712,0.0459898943423363,0.46484792546971054,0.22797649884636592,0.8622315694335974,0.9596769283475024,4.225890231542823,0.6012944657643702,0.0459898943423363,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
120,0.12,0.5053076748410535,0.22728334139226092,0.8552372530699413,0.9622219212352042,4.210897290342112,0.5621503694988028,0.043737590766367344,0.5261902939546031,0.23454351954597866,0.8568912329384836,0.9637404254356643,4.384919116288359,0.5384201205061327,0.043737590766367344,0.48442505572750394,0.22002316323854318,0.8541633734564859,0.9606699338410474,4.036875464395866,0.5858806184914728,0.043737590766367344,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
130,0.13,0.5248921435059037,0.21999567454637436,0.8475345924541733,0.9632676831752023,4.037631873122336,0.5461009844759728,0.04148528719039839,0.5457500432636828,0.2268163813740304,0.8488219017401266,0.9647990913161314,4.198077255874483,0.5221263870532381,0.04148528719039839,0.5040342437481247,0.21317496771871836,0.8460972713037127,0.9616902770457724,3.87718649037019,0.5700755818987073,0.04148528719039839,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
140,0.14,0.5458673932788374,0.21406749649796092,0.8391634204056343,0.9644019498255803,3.8990528091345524,0.528061170606003,0.039218754567979776,0.5666631320289464,0.22047854798891528,0.84084096270771,0.9659873874675867,4.0475938002067595,0.5038800790361089,0.039218754567979776,0.5250716545287284,0.20765644500700656,0.8381244522534335,0.9628441680088873,3.7505118180623453,0.5522422621758972,0.039218754567979776,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
150,0.15,0.5653042688465032,0.20840720329117418,0.8309189060924245,0.9654826385136902,3.7686951256433545,0.5114067425335256,0.03748966406369798,0.5860091744035274,0.21445088651145686,0.8327576734305204,0.967086178139617,3.9067278293568495,0.4870480301134972,0.03748966406369798,0.544599363289479,0.20236352007089153,0.8300530283550879,0.9639127507037708,3.63066242192986,0.5357654549535541,0.03748966406369798,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
160,0.16,0.5837874659400545,0.20312246538072676,0.8226898815526685,0.9665128101790751,3.6486716621253406,0.4954911119761256,0.0359212508349353,0.6043759511246274,0.20883207781305654,0.8246104242859473,0.96813736234295,3.777349694528921,0.4709810105659198,0.0359212508349353,0.5631989807554816,0.19741285294839697,0.8219209869971991,0.9649373434275241,3.51999362972176,0.5200012133863314,0.0359212508349353,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
170,0.17,0.6000605510142294,0.1978160589047433,0.8146549735355573,0.9674142006249293,3.529767947142526,0.4818547578141815,0.034460928974123665,0.6205218920469151,0.20322802016113295,0.8163181232214304,0.9690406401517324,3.650128776746559,0.45720253970251196,0.034460928974123665,0.5795992099815437,0.19240409764835362,0.8136452945476466,0.965816129698125,3.409407117538492,0.506506975925851,0.034460928974123665,0.8041326067211626,0.8164691669196704,0.7917960465226546,2202,31512,33714,0.06531411283146467,0,0.06531411283146467
