,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.07315677580830193,0.9981904962796604,0.9981904962796603,16.3441012378156,1.0,inf,0.0,0.0828774857568084,0.9981904962796604,0.9981904962796603,21.41344289865475,1.0,0.006424227924270646,0.0,0.06343606585979548,0.9981904962796604,0.9981904962796603,11.274759576976452,1.0,0.006424227924270646,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
10,0.01,0.10889142857142858,0.019354911556039515,0.9882314014037612,0.998370692028176,10.889142857142858,0.9001096681096681,0.0071534411547120565,0.11812184342785799,0.02096403668105713,0.9884223332319999,0.9983878007808611,11.812184342785798,0.8907860167395374,0.0071534411547120565,0.09966101371499918,0.0177457864310219,0.9883889282919539,0.9983541072948772,9.966101371499917,0.9094333194797989,0.0071534411547120565,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
20,0.02,0.15994920634920634,0.014289560726171192,0.9783679861912463,0.9984483523713553,7.997460317460317,0.857194687398769,0.006436541200718357,0.17081103332336223,0.01524613178566574,0.9785357695543409,0.9984685321968346,8.540551666168112,0.8461111904863651,0.006436541200718357,0.14908737937505046,0.013332989666676643,0.978496460521702,0.9984284728199428,7.454368968752522,0.868278184311173,0.006436541200718357,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
30,0.03,0.20013714285714285,0.011948512872371092,0.968221971304373,0.9985069136215042,6.671238095238095,0.8246008836524301,0.0060793131302607625,0.21199293769094926,0.012647894798612625,0.9686283834007081,0.9985294989982163,7.066431256364976,0.8123784147515987,0.0060793131302607625,0.18828134802333643,0.011249130946129558,0.9685854771909893,0.9984853177919646,6.276044934111215,0.8368233525532615,0.0060793131302607625,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
40,0.04,0.23080197044334974,0.010351266457351812,0.9579079983416033,0.998548901240644,5.770049261083743,0.801247947454844,0.0058778722702450305,0.24328723933258287,0.010905440230674742,0.9587031055931574,0.9985731255937477,6.082180983314571,0.7882424590285595,0.0058778722702450305,0.21831670155411662,0.009797092684028882,0.9586579213121484,0.998526109990631,5.457917538852915,0.8142534358811285,0.0058778722702450305,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
50,0.05,0.255471921182266,0.009177091450092746,0.9483078947417213,0.9985813500741062,5.1094384236453205,0.7837137671765622,0.005740990539010096,0.2683951546402593,0.009637071737388541,0.94876663349652,0.998605902506856,5.367903092805186,0.7701103635365691,0.005740990539010096,0.24254868772427274,0.00871711116279695,0.948719864218478,0.9985567222833166,4.850973754485454,0.7973171708165551,0.005740990539010096,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
60,0.06,0.2801418719211823,0.008392750157304403,0.9387077911418393,0.9986137989075685,4.669031198686372,0.7658065192327849,0.005604108807775162,0.2934486076487999,0.008788067301019092,0.9388300628501497,0.9986392742774856,4.890810127479998,0.7516504173948938,0.005604108807775162,0.2668351361935647,0.007997433013589716,0.9387819056745403,0.9985880925725659,4.447252269892745,0.7799626210706759,0.005604108807775162,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
70,0.07,0.3056,0.007851833650683204,0.9284722825390129,0.998647706012109,4.365714285714285,0.7466666666666667,0.0054913760300197585,0.31925024962162546,0.008199803502161668,0.9288948460544938,0.9986748205512082,4.560717851737506,0.7319889789014781,0.0054913760300197585,0.2919497503783745,0.00750386379920474,0.9288454456995461,0.9986217493630309,4.170710719691064,0.7613443544318553,0.0054913760300197585,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
80,0.08,0.32438441558441555,0.007296753760858481,0.9188490315536089,0.998670441058051,4.054805194805194,0.7343647656691135,0.00540574585532025,0.33825640926811196,0.007606519788806987,0.918947332808287,0.998697786919281,4.2282051158514,0.7192865116650957,0.00540574585532025,0.31051242190071915,0.006986987732909975,0.9188971299599287,0.9986432649460408,3.8814052737589892,0.7494430196731313,0.00540574585532025,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
90,0.09,0.3427948051948052,0.006857163006174435,0.9088949374879915,0.9986924194969687,3.808831168831169,0.7222035107749394,0.0053318772906343626,0.3568593820989175,0.007136580509122191,0.908999089994037,0.9987204580110715,3.965104245543528,0.7067479317594314,0.0053318772906343626,0.3287302282906929,0.00657774550322668,0.908948190185571,0.9986645691945267,3.6525580921188103,0.7376590897904473,0.0053318772906343626,0.7088654857142856,0.7198966867219705,0.6978342847066008,4375,2413415,2417790,0.001809503720339649,0,0.001809503720339649
