,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.377178941336211,0.9960176324483583,0.9960176324483582,136.56124668548279,1.0,inf,0.0,0.38899360243714276,0.9960176324483583,0.9960176324483582,147.4812920809166,1.0,0.010276648045095689,0.0,0.3653642802352793,0.9960176324483583,0.9960176324483582,125.64120129004894,1.0,0.010276648045095689,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
10,0.01,0.357592047875038,0.12508116138949332,0.9869838907799648,0.9974109468521088,35.759204787503805,0.6488969213383454,0.014867780065789272,0.3670529170707825,0.1279767451387569,0.9875191957505529,0.997450249033804,36.70529170707825,0.6393404878072904,0.014867780065789272,0.3481311786792935,0.12218557764022973,0.987443842433562,0.9973742252402709,34.81311786792935,0.6584533548694005,0.014867780065789272,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
20,0.02,0.4623863136896913,0.08461305127424756,0.9772812373897416,0.9978100864983146,23.119315684484565,0.5485853941941925,0.010145637597740497,0.4722279950786252,0.08626167536959123,0.977977865243969,0.9978513758713207,23.61139975393126,0.5385428621646682,0.010145637597740497,0.4525446323007574,0.0829644271789039,0.9778994788587353,0.9977714210870294,22.62723161503787,0.5586279262237169,0.010145637597740497,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
30,0.03,0.528577949082057,0.0658093617956074,0.9680259389101021,0.998060196192569,17.6192649694019,0.48600211434839485,0.008086521401354636,0.5384314627862422,0.06695544078800975,0.9682813354610905,0.9981010510482882,17.947715426208074,0.4758438527976885,0.008086521401354636,0.5187244353778718,0.06466328280320505,0.9682028548346001,0.9980201344687681,17.290814512595727,0.4961603758991012,0.008086521401354636,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
40,0.04,0.578670363232692,0.054678710584519626,0.9575995961037058,0.9982467533356155,14.466759080817301,0.43888503829927916,0.006878880558874809,0.588417078573298,0.055549335544677475,0.9585202202309661,0.9982887376402934,14.710426964332449,0.42873220981948135,0.006878880558874809,0.5689236478920862,0.053808085624361776,0.958442590225151,0.9982078339178451,14.223091197302153,0.4490378667790769,0.006878880558874809,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
50,0.05,0.6114886567265105,0.04661810368116048,0.9480540498982831,0.9983666731174475,12.229773134530209,0.40895930870893626,0.006174207884950039,0.621109822817098,0.04731740700037254,0.9486902384303331,0.9984078937001861,12.42219645634196,0.39883176545568627,0.006174207884950039,0.601867490635923,0.04591880036194842,0.9486136083910369,0.9983271721833771,12.03734981271846,0.4190868519621863,0.006174207884950039,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
60,0.06,0.6411907901409879,0.040976576701299096,0.9387125118941202,0.9984760157643483,10.686513169016465,0.3817119253819278,0.005654950994882334,0.6506587647919524,0.04155685779388838,0.9388477368535555,0.9985162816681691,10.844312746532541,0.3716396119234549,0.005654950994882334,0.6317228154900234,0.04039629560870981,0.9387723269434959,0.9984359828936183,10.52871359150039,0.39178423884040064,0.005654950994882334,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
70,0.07,0.6682141268813345,0.03676390100247404,0.9282617035703785,0.9985747751123722,9.545916098304778,0.3567590033534037,0.005245866601232179,0.6775084641831032,0.037256462079382255,0.9289944859006986,0.9986154521559477,9.678692345472902,0.34676509227623314,0.005245866601232179,0.6589197895795659,0.03627133992556583,0.9289204589661294,0.9985357625469339,9.413139851136654,0.36675291443057434,0.005245866601232179,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
80,0.08,0.6917875376136863,0.03341895128553441,0.918244885870528,0.9986611316955486,8.647344220171078,0.3350135460720801,0.004935198468086657,0.7009022532157747,0.033844553537015896,0.9191274722425687,0.9987018183427182,8.761278165197183,0.3251062465045927,0.004935198468086657,0.6826728220115978,0.032993349034052925,0.9190548759472563,0.9986228056386588,8.533410275144973,0.34492084563956754,0.004935198468086657,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
90,0.09,0.7121267007665223,0.03066622526727176,0.9087054948224258,0.9987361208013676,7.912518897405803,0.31634428487195354,0.004710575532254089,0.7210640964364666,0.031039294484300147,0.9092475877883085,0.9987759323830917,8.011823293738518,0.30652297094893777,0.004710575532254089,0.703189305096578,0.030293156050243367,0.9091764037992842,0.9986975937527068,7.813214501073088,0.32616559879496926,0.004710575532254089,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
100,0.1,0.728877168069784,0.02831726872587388,0.8985908017367469,0.9987963285718132,7.28877168069784,0.30124759103357335,0.004522636182249735,0.7376520620290492,0.0286485257601653,0.8993534708397486,0.9988358643549005,7.376520620290492,0.29149770885661197,0.004522636182249735,0.7201022741105187,0.02798601169158246,0.8992835811338036,0.9987580861145886,7.201022741105187,0.3109974732105347,0.004522636182249735,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
110,0.11,0.7425702403894918,0.02628155302505207,0.889157975055571,0.998844950161379,6.75063854899538,0.2892469209106833,0.004369549272494527,0.7512006181054457,0.02657897851595548,0.8894472498453553,0.9988835264081186,6.829096528231324,0.279549867297252,0.004369549272494527,0.733939862673538,0.025984127534148662,0.8893785111730064,0.9988061621847492,6.672180569759436,0.29894397452411464,0.004369549272494527,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
120,0.12,0.7556040166345471,0.024557693200525185,0.8793791804458038,0.9988906727799778,6.296700138621226,0.2777227083698328,0.004222877629809623,0.7640865547281503,0.024826612535850764,0.8795383900567504,0.9989292722103716,6.36738795606792,0.2680834605361928,0.004222877629809623,0.7471214785409439,0.024288773865199606,0.8794708288878313,0.9988523620890011,6.226012321174533,0.2873619562034728,0.004222877629809623,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
130,0.13,0.7664339920146798,0.023029576312762277,0.8695425317287825,0.9989277229851642,5.895646092420613,0.2684666758451957,0.0041045300509807755,0.7747856722057571,0.023274746479521265,0.8696208215505409,0.9989660446040477,5.959889786198131,0.2588670434416585,0.0041045300509807755,0.7580823118236024,0.022784406146003293,0.8695543026301515,0.9988894449050321,5.831402398643095,0.27806630824873285,0.0041045300509807755,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
140,0.14,0.7772013968382768,0.02171423489479333,0.8593992801120347,0.9989650628096717,5.551438548844834,0.259068143211306,0.003998707218731898,0.7854153964085518,0.021938743193848722,0.8597029766948053,0.9990033529934652,5.610109974346798,0.24951698092028857,0.003998707218731898,0.7689873972680018,0.021489726595737932,0.8596375543640896,0.9989271343367978,5.49276712334287,0.2686193055023235,0.003998707218731898,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
150,0.15,0.7874208153141108,0.020557391180468593,0.8491567346165084,0.9990004437305885,5.249472102094073,0.25009315845398733,0.0039001196399504248,0.7954967997219273,0.020763898996532786,0.849782948223752,0.9990389678310788,5.3033119981461825,0.24059200032714434,0.0039001196399504248,0.7793448309062943,0.0203508833644044,0.8497186251472455,0.9989631427734664,5.195632206041962,0.2595943165808303,0.0039001196399504248,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
160,0.16,0.7966919775734407,0.0195201259587576,0.8390057740993575,0.9990325849408541,4.979324859834004,0.24203336003161824,0.0038164021635495988,0.8046362501656106,0.019710973170543836,0.8398591685501551,0.9990709580062789,5.028976563535066,0.2325758926599874,0.0038164021635495988,0.7887477049812708,0.01932927874697136,0.8397958945233702,0.9989954767677472,4.929673156132942,0.2514908274032491,0.0038164021635495988,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
170,0.17,0.8047014630426951,0.018574484322057258,0.8294290988048384,0.9990602312460226,4.733538017898207,0.23529944211723486,0.0037481225484290825,0.8125267189326706,0.01875175569819478,0.8299304149724568,0.9990977153529799,4.779568934898062,0.22587142297268606,0.0037481225484290825,0.7968762071527196,0.018397212945919738,0.8298680888821777,0.9990224650963313,4.68750710089835,0.24472746126178369,0.0037481225484290825,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
180,0.18,0.8127109485119495,0.017732381047402213,0.8198524235103193,0.9990878775511911,4.515060825066387,0.22840128230250062,0.003679842933308566,0.8204121042845741,0.017897431743207827,0.8200016411507308,0.9991251020608427,4.55784502380319,0.21900962892125106,0.003679842933308566,0.8050097927393248,0.017567330351596598,0.8199403034850127,0.9990501379283431,4.472276626329583,0.2377929356837502,0.003679842933308566,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
190,0.19,0.8203671771984988,0.016970510481951303,0.8094798039959397,0.9991135967348292,4.317721985255257,0.22176891703889032,0.0036139781105010596,0.8279447242719714,0.017124603314237256,0.8100714624876639,0.9991514281856627,4.357603811957744,0.21241392065188713,0.0036139781105010596,0.8127896301250263,0.01681641764966535,0.8100111093324911,0.9990767526922755,4.2778401585527694,0.2311239134258935,0.0036139781105010596,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
200,0.2,0.8268992798458261,0.016262068028977988,0.7993154157088425,0.9991347853737044,4.13449639922913,0.21637590019271735,0.0035576588158321132,0.8343673330259151,0.016406548964844708,0.8001368633518788,0.9991728753623866,4.171836665129575,0.20704083371760607,0.0035576588158321132,0.8194312266657371,0.016117587093111268,0.8000773822865622,0.999098355747063,4.097156133328685,0.22571096666782864,0.0035576588158321132,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
210,0.21,0.8327771579267674,0.015608145491176497,0.7893304944978375,0.9991535880904331,3.965605513936988,0.21167448363700325,0.0035108676810953463,0.8401433639291559,0.015744050321846503,0.7901996893054417,0.999191599327133,4.000682685376933,0.2023501722415748,0.0035108676810953463,0.825410951924379,0.015472240660506491,0.7901410194259164,0.9991171627710363,3.930528342497043,0.22099879503243167,0.0035108676810953463,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
220,0.22,0.8383051019373162,0.015006745209807965,0.7798869636133836,0.9991716692489379,3.81047773607871,0.2073011513624151,0.003471320855947112,0.845572532162725,0.015134889426121248,0.7802611339243638,0.9992090289084054,3.8435115098305683,0.19798393312471155,0.003471320855947112,0.8310376717119075,0.014878600993494683,0.7802032507677368,0.9991346463783654,3.777443962326852,0.21661836960011863,0.003471320855947112,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
230,0.23,0.8441479405065976,0.014462315334241811,0.7694815122619312,0.9991906628797997,3.670208436985207,0.20240527206935377,0.0034295002384198314,0.85130767987326,0.014583205272319582,0.7703237970660266,0.9992284982092675,3.701337738579391,0.19310690925550655,0.0034295002384198314,0.8369882011399352,0.014341425396164042,0.7702667716385625,0.9991542633046226,3.6390791353910226,0.21170363488320101,0.0034295002384198314,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
240,0.24,0.8490811349113409,0.013947991258161629,0.7599940629310944,0.9992065049295713,3.5378380621305867,0.1985774540640252,0.00339415563861104,0.8561472062689578,0.014062447828832854,0.7603828935144265,0.9992437759690703,3.5672800261206574,0.1892799917513713,0.00339415563861104,0.8420150635537239,0.013833534687490405,0.7603266141278422,0.9991695459834302,3.5083960981405165,0.20787491637667907,0.00339415563861104,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
250,0.25,0.8542448524191094,0.013477926803119551,0.7500204995591079,0.9992231732499383,3.4169794096764377,0.19434019677452077,0.003357418262278703,0.8612100717025422,0.013586340138910302,0.750442879380964,0.9992606504928777,3.4448402868101686,0.18505323772994378,0.003357418262278703,0.8472796331356767,0.013369513467328798,0.7503874032544351,0.9991865018538469,3.3891185325427067,0.20362715581909777,0.003357418262278703,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
260,0.26,0.8588737563278592,0.013035611802059806,0.7398927258898103,0.9992376607903177,3.303360601260997,0.19071114009748752,0.0033228893609304733,0.8657460263479692,0.01313855653745152,0.740500766895076,0.999275138846869,3.3297924090306505,0.1814242887189606,0.0033228893609304733,0.8520014863077493,0.012932667066668095,0.7404460310848077,0.9992009889173141,3.276928793491343,0.19999799147601446,0.0033228893609304733,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
270,0.27,0.8631153814235263,0.012620115868062005,0.7304052765589736,0.9992507990347765,3.196723634901949,0.1875131761321558,0.003290791838310443,0.8699002807943762,0.012718069942759395,0.7305571343387011,0.999287936937576,3.221852891831023,0.17821879343236138,0.003290791838310443,0.8563304820526764,0.012522161793364616,0.7305030944125098,0.9992137249785971,3.171594377972875,0.1968075588319502,0.003290791838310443,0.8873981133989248,0.8925318743931918,0.882264352404658,9859,2465804,2475663,0.0039823675516417216,0,0.0039823675516417216
