,fpr,tpr,ppv,acc,npv,LR+,LR-,threshold,tpr_upper,ppv_upper,acc_upper,npv_upper,LR+_upper,LR-_upper,threshold_upper,tpr_lower,ppv_lower,acc_lower,npv_lower,LR+_lower,LR-_lower,threshold_lower,AUC,AUC_upper,AUC_lower,n_pos,n_neg,n_total,prevalence_in_data,prevalence_preset,prevalence
0,0.0,0.0,0.04864107476205278,0.9988840604848427,0.9988840604848428,19.40293047795027,1.0,inf,0.0,0.05777932817926696,0.9988840604848427,0.9988840604848428,26.623515409894424,1.0,0.004421002786812764,0.0,0.0395028213448386,0.9988840604848427,0.9988840604848428,12.182345546006117,1.0,0.004421002786812764,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
10,0.01,0.13319578175149013,0.014659840093641553,0.9885625153819035,0.9990223666175113,13.319578175149013,0.8755598164126364,0.005026050750497482,0.14745599440310048,0.016206599880147107,0.9890597718508956,0.9990388535586016,14.745599440310047,0.8611555612089895,0.005026050750497482,0.1189355690998798,0.013113080307136002,0.9890279447813106,0.9990067319586129,11.89355690998798,0.8899640716162831,0.005026050750497482,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
20,0.02,0.18833104080696927,0.010409708968194752,0.9785216180662472,0.999075009214251,9.416552040348463,0.8282336318296233,0.00442596763806394,0.204739608771075,0.011307296377228798,0.9791348562948913,0.9990942354834482,10.23698043855375,0.8114901951315562,0.00442596763806394,0.17192247284286355,0.009512121559160706,0.9790982343561347,0.9990568935459814,8.596123642143178,0.8449770685276903,0.00442596763806394,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
30,0.03,0.2253298690712721,0.00832093907165164,0.9690725171937631,0.9991085126027066,7.51099563570907,0.7986290009574515,0.004151618846475043,0.2428641534547954,0.00896308608780894,0.9691885603759528,0.9991287373481451,8.095471781826513,0.7805524191187676,0.004151618846475043,0.20779558468774878,0.007678792055494342,0.9691494259743256,0.9990884195082362,6.926519489591627,0.8167055827961353,0.004151618846475043,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
40,0.04,0.2636405318661164,0.007309305174271549,0.9583245710847331,0.999143049011341,6.5910132966529105,0.7670411126394621,0.003941984567779468,0.28213199540331224,0.007818242912018417,0.9592435403076096,0.9991652887334669,7.053299885082806,0.7477791714548832,0.003941984567779468,0.24514906832892058,0.00680036743652468,0.9592022695979011,0.9991223240494491,6.128726708223015,0.7863030538240411,0.003941984567779468,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
50,0.05,0.2911508482347547,0.006463169747448456,0.948839596870048,0.9991669630231056,5.823016964695093,0.7461570018581529,0.003815932810352048,0.310216699472246,0.006883682947511498,0.9492860405338033,0.9991894823105018,6.20433398944492,0.7260876847660569,0.003815932810352048,0.27208499699726335,0.0060426565473854135,0.9492434878602312,0.9991447146486067,5.441699939945266,0.7662263189502491,0.003815932810352048,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
60,0.06,0.3208772734219777,0.005939045896100202,0.9385059850208614,0.9991928350514392,5.347954557032962,0.7224709857213003,0.003683910665375668,0.34046860115072514,0.006299511778894028,0.9393309592214465,0.9992167635196684,5.674476685845419,0.7016291477119945,0.003683910665375668,0.30128594569323025,0.0055785800133063765,0.9392872337479127,0.9991702701739552,5.021432428220504,0.7433128237306063,0.003683910665375668,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
70,0.07,0.34494880024453617,0.005475072716235885,0.9285395348392973,0.9992131059247301,4.927840003493373,0.7043561287693161,0.0035952060730506936,0.36489844657287757,0.005789988215792733,0.9293693808464538,0.999237649676793,5.212834951041107,0.6829048961581963,0.0035952060730506936,0.32499915391619477,0.005160157216679037,0.9293248556491513,0.9991897949765658,4.64284505594564,0.7258073613804359,0.0035952060730506936,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
80,0.08,0.36379846146008454,0.005054624756262118,0.9191558985524623,0.9992279472761798,4.547480768251057,0.6915234114564298,0.003525253153003379,0.38398900659198937,0.00533373904632408,0.9194018441518973,0.9992525167602666,4.799862582399867,0.6695771667478376,0.003525253153003379,0.3436079163281797,0.004775510466200157,0.9193567812976068,0.9992035563545396,4.295098954102246,0.713469656165022,0.003525253153003379,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
90,0.09,0.3828519027968822,0.004729867909500586,0.9089580624711229,0.9992425810703627,4.253910031076469,0.6781847222012284,0.0034583123032852635,0.4032519118584871,0.004980707070061331,0.9094344997842124,0.9992679223245261,4.480576798427634,0.6557671298258384,0.0034583123032852635,0.3624518937352773,0.004479028748939843,0.9093889694317696,0.9992179088885205,4.027243263725303,0.7006023145766184,0.0034583123032852635,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
100,0.1,0.4006853447235696,0.004456400528229015,0.8987270953879052,0.9992561144753389,4.006853447235695,0.6659051725293672,0.003404867975526956,0.4212513260065104,0.0046841175817290805,0.8994657454368615,0.9992821045799513,4.212513260065103,0.6430540822149885,0.003404867975526956,0.3801193634406288,0.00422868347472895,0.8994198446544982,0.9992311226164254,3.801193634406288,0.6887562628437458,0.003404867975526956,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
110,0.11,0.4170950071188977,0.004218203739581879,0.8892771970973131,0.9992687550483751,3.7917727919899793,0.6549494302034857,0.003361908099399257,0.4377886352963695,0.004426603816941564,0.889495359468924,0.9992947732086889,3.9798966845124504,0.6316981625883488,0.003361908099399257,0.39640137894142585,0.004009803662222193,0.8894491737941336,0.9992428971599883,3.6036488994675078,0.6782006978186227,0.003361908099399257,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
120,0.12,0.4347463632195407,0.004031085958109913,0.878731611236151,0.9992825289328743,3.6228863601628394,0.6423336781596128,0.0033212563693240434,0.45555098954068673,0.0042232162301421156,0.879526340577059,0.9993092831740243,3.7962582461723895,0.6186920573401287,0.0033212563693240434,0.41394173689839464,0.00383895568607771,0.8794799071678393,0.9992565347200542,3.449514474153289,0.665975298979097,0.0033212563693240434,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
130,0.13,0.45058563628027176,0.003857247850469172,0.8690664304576862,0.9992949827261381,3.46604335600209,0.6315107628962393,0.0032877309698609953,0.47146700367019045,0.004035315202385267,0.8695552612813016,0.9993217594210744,3.626669259001465,0.6075091911836892,0.0032877309698609953,0.42970426889035307,0.0036791804985530775,0.8695086565952996,0.9992682065616895,3.3054174530027156,0.6555123346087895,0.0032877309698609953,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
140,0.14,0.4664249093410029,0.003708195190129084,0.8594012496792215,0.999307436519402,3.3316064952928777,0.6204361519290664,0.0032542055703979472,0.4873616416128826,0.0038740314677098917,0.8595841581310125,0.9993344984040203,3.481154582949161,0.5960911144036249,0.0032542055703979472,0.4454881770691232,0.0035423589125482763,0.8595374298772915,0.9992801778526096,3.182058407636594,0.6447811894545079,0.0032542055703979472,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
150,0.15,0.4822329206785878,0.0035787487662733344,0.8493532820952852,0.999319755300305,3.214886137857252,0.609137740378132,0.003222519052133661,0.5032037643418821,0.0037338217592211994,0.8496129963769212,0.9993474685314527,3.354691762279214,0.5844661595977858,0.003222519052133661,0.46126207701529354,0.003423675773325469,0.8495661919907012,0.9992924179824241,3.0750805134352905,0.6338093211584782,0.003222519052133661,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
160,0.16,0.49568240868103314,0.003449100888096159,0.8388258348099108,0.9993294828958765,3.0980150542564573,0.6003780849035321,0.003200153487517604,0.5166657222220221,0.0035946061241740705,0.8396391785028227,0.9993575862959316,3.2291607638876383,0.575397949735688,0.003200153487517604,0.47469909514004416,0.0033035956520182483,0.8395923462853441,0.9993018461686393,2.966869344625276,0.625358220071376,0.003200153487517604,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
170,0.17,0.5081002598196546,0.00332794305659303,0.8290592321183186,0.9993384676270712,2.9888250577626736,0.5926502893739102,0.003179818571781753,0.529081601838833,0.0034649095924064455,0.829664193268654,0.9993665418264234,3.1122447166990175,0.5673715640495988,0.003179818571781753,0.4871189178004761,0.0031909765207796146,0.8296173654513735,0.9993101344582688,2.8654053988263297,0.6179290146982216,0.003179818571781753,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
180,0.18,0.520518110958276,0.00322022236913537,0.8192926294267263,0.9993474523582659,2.891767283101534,0.5847340110264926,0.0031594836560459028,0.5414845311135452,0.0033495155983259495,0.8196891935826871,0.9993756983291047,3.0082473950752515,0.5591652059590911,0.0031594836560459028,0.4995516908030069,0.00309092913994479,0.8196423990692018,0.9993186426636618,2.775287171127816,0.610302816093894,0.0031594836560459028,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
190,0.19,0.5329359620968974,0.003123820880143808,0.8095260267351342,0.9993564370894606,2.80492611629946,0.576622269016176,0.003139148740310052,0.5538744823589421,0.003246169870277957,0.8097141794140243,0.9993850632144897,2.9151288545207477,0.550772244001306,0.003139148740310052,0.5119974418348527,0.003001471890009659,0.8096674471697256,0.9993273789742655,2.694723378078172,0.602472294031046,0.003139148740310052,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
200,0.2,0.5456212746446585,0.003038528488781932,0.7989189559799981,0.999365260414694,2.728106373223292,0.5679734066941768,0.00311881496250279,0.566517839568182,0.003154546982324674,0.7997394480310899,0.9993950158530497,2.83258919784091,0.5418527005397724,0.00311881496250279,0.5247247097211349,0.00292250999523919,0.7996928094260314,0.9993367264631113,2.6236235486056745,0.5940941128485813,0.00311881496250279,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
210,0.21,0.5547913801008711,0.0029427561081273755,0.7896063273071235,0.9993707122156192,2.6418637147660533,0.5635552150621884,0.0031052621451075177,0.5756491029679032,0.0030530657188648468,0.7897607973638925,0.999400259932156,2.741186204609063,0.5371530342178441,0.0031052621451075177,0.5339336572338391,0.0028324464973899046,0.7897142454496054,0.9993413418390396,2.5425412249230437,0.5899573959065327,0.0031052621451075177,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
220,0.22,0.5651459575118447,0.0028616548461408934,0.7788476675192697,0.9993775441952529,2.5688452614174757,0.5575051826771221,0.003093821028540558,0.5859511781973165,0.0029667024254777133,0.7797834532518806,0.9994073134840947,2.6634144463514384,0.5308318228239532,0.003093821028540558,0.544340736826373,0.0027566072668040735,0.7797370185161117,0.9993477894341739,2.4742760764835134,0.584178542530291,0.003093821028540558,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
230,0.23,0.5746132423115459,0.0027833084012433206,0.7689630741267376,0.999383923772418,2.498318444832808,0.55245033466033,0.003084120413998441,0.5953623801850197,0.002883533586479893,0.7698051149792154,0.9994132593031853,2.5885320877609552,0.5255034023571172,0.003084120413998441,0.553864104438072,0.002683083216006748,0.7697588054134985,0.9993531240724719,2.4081048019046607,0.5793972669635429,0.003084120413998441,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
240,0.24,0.5840805271112469,0.002711479976405426,0.7590784807342055,0.9993903033495832,2.433668862963529,0.5472624643273067,0.003074419799456324,0.6047657997268393,0.002807247270361341,0.7598267680218114,0.9994193502379911,2.5198574988618305,0.5200450003594219,0.003074419799456324,0.5633952544956545,0.0026157126824495106,0.7597806009956243,0.9993586105805943,2.347480227065227,0.5744799282951915,0.003074419799456324,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
250,0.25,0.5935478119109481,0.0026453886571795896,0.7491938873416734,0.9993966829267483,2.3741912476437923,0.5419362507854025,0.0030647191849142072,0.6141613644877852,0.0027370186402043183,0.7498484122989468,0.9994255919880645,2.456645457951141,0.5144515140162863,0.0030647191849142072,0.5729342593341109,0.0025537586741548614,0.7498024053432103,0.9993642551437392,2.2917370373364436,0.5694209875545188,0.0030647191849142072,0.7275538743695552,0.7431105892378886,0.7119971595012219,2181,1952226,1954407,0.001115939515157283,0,0.001115939515157283
